_id,istasyon_kodu,enlem,boylam,adres,peron_adet
80,KON 2013,32.507275,37.848609,Altı Yol Göbeği Orta Refüj,12
81,KON 2014,32.454503,37.893661,GAZZE CAD.,12
82,KON 2015,32.428568,37.882592,YENİ TİP MERKEZI,12
83,KON 2016,32.458822,37.879694,DİLTAŞ LISESI,12
84,KON 2017,32.507275,37.872118,MERAM YAKA ÖNCÜ DÜĞÜN SALONU KARŞISI,12
85,KON 2018,32.480504,37.87176,EĞİTİM FAKULTESI ARKASI NECİP FAZIL CAMİİ ÖNUNDEDİ KAVŞAK,18
86,KON 2019,32.485005,37.864655,EYÜP SULTAN CADDESİ ÜZERİNE,12
87,KON 2020,32.423245,37.864252,ÇAMŞI KÖŞK ZAFER YÜRÜŞ YOLU,12
88,KON 2022,32.507924,37.866295,SİLLE KILISE ARKASI OTOBUS DURAĞİ,12
89,KON 2023,32.488368,37.848609,SELÇUKLU DİYANET YURDU,12
90,KON 2024,32.4694025,37.8894937,ŞEFİKCAN İÇİ ELMAS CAMİİ KAVŞAĞI,12
91,KON 2025,32.460802,37.892624,GENÇ OSMAN CD EVİMDEYİM KAVŞAGI,12
92,KON 2026,32.481068,37.887919,RAUF DENKDAŞ ALAADDİN OKULU KAVŞAK,12
93,KON 2027,32.474511,37.882194,ŞEFİKCAN KİBRİT CAMİİ,12
94,KON 2028,32.479047,37.911693,ÖZALKENT KARAKOL KAVŞAK,12
95,KON 2029,32.459572,37.878335,MERAM YAKA CİĞERCİ BAHATTİN KAVŞAK,12
96,KON 2030,32.527682,37.87783,FETİH CD FETİH CAMMİ KAVŞAK,12
97,KON 2031,32.5233693,37.9054701,KARAKAYA CD KOCAMAN MARKET KARŞISI,12
98,KON 2032,32.503851,37.9252886,SELÇUKLU FEN LİSESİ,6
99,KON 2033,32.50968,37.950315,KONYA OTOGAR İÇİ,12
100,KON 2034,32.447687,37.866849,MERAM GENÇLİK MERKEZİ,12
101,KON 2035,32.503922,37.925385,DUMLUPINAR GENÇLİK MERKEZİ ÖNÜ,12
102,KON 2036,32.520504,38.009488,KILIÇARSLAN GENÇLİK MERKEZİ ÖNÜ,12
103,KON 2037,32.526712,37.866849,SOSYAL BİLİMLER LİSESİ CİVARI,12
104,KON 2038,32.500203,37.957292,ECDAT CAMİ ÖNÜ,12
105,KON 2039,32.47867,37.866572,MERAM GAR,12
106,KON 2040,32.531069,38.011115,BOSNA KOMEK ÖNÜ,12
107,KON 2041,32.530404,38.014356,BOSNA POLİS MERKEZİ CİVARI,12
108,KON 2042,32.525778,38.002842,BOSNA ULU CAMİİ KAVŞAĞI,12
109,KON 2043,32.488255,37.983,BEYHEKİM HASTANE BÖLGESİ,12
110,KON 2044,32.5209,37.958943,MODALİFE (SANCAK MH.) ÖNÜ,12
111,KON 2045,32.475526,37.851081,YAVUZ SULTAN SELİM BİLGEHANE KARŞISINDAKİ PARK CİVARI,12
112,KON 2046,32.488345,37.888089,PAŞA PARK OTEL CİVARI DEMİRYOLU CD,12
113,KON 2047,32.4421,37.847263,ATİKER DELUXE DÜĞÜN MERKEZİ ARKASI,12
114,KON 2048,32.504856,37.854834,ULUIRMAK EVLERİ ÖNÜ,12
115,KON 2049,32.457452,37.857968,ŞEKERSÜT (ESKİYOL) ÖNÜ,12
116,KON 2050,32.46528,37.90231,AKINCILAR PARKI,12
117,KON 2051,32.46751,37.86232,HAVZAN ORTA REFÜJ,12
118,KON 2052,32.50956,37.92893,ESKİ SELÇUKLU KİPA KARŞISI,6
119,KON 2053,32.45298,37.8801,BEYŞEHİR KAVŞAĞI,6
120,KON 2054,32.52719,37.99553,ALİ ULVİ KURUCU KIZ YURDU,6
