_id,park_alani_isimleri,enlem,boylam
81,19 FETİH CAD BÜYÜKKUMKÖPRÜ CAD,32.51584615803286,37.85376545377438
82,20 FETİH CAD KÜÇÜK KUMKÖPRÜ CAD,32.52231058153418,37.85784190185304
83,21 MİLLET BAHÇESİ GİRİŞİ,32.48331911813279,37.86710462779646
84,22 DSİ ÖNÜ,32.48479859834745,37.86725602930315
85,23 A BALIK HALİ,32.48917126165749,37.86593563722153
86,23 B BALIK HALİ,32.48989326081493,37.86589645202792
87,24 FURKANDEDE CAD OTOBÜS DURAĞI,32.49609829696954,37.86612722082808
88,25 HAKİMİYET KAVŞAK KAR BEL ÖNÜ,32.50053155655728,37.86639805729878
89,26 HAKİMİYET İLKOKUL ARKASI,32.50242732766847,37.86464975638999
90,27 ESKİ GARAJ GÜNEY GİRİŞİ,32.50354281285821,37.86400069960779
91,28 ESKİ GARAJ KUZEY GİRİŞİ,32.50269797041051,37.86563810924387
92,29 KARATAY BELEDİYESİ GİRİŞİ,32.50266615504097,37.86652804318629
93,30 BUĞDAY PAZARI,32.50078873382672,37.86764998469578
94,31 A AZİZİYE CAMİİ,32.50149044371637,37.87002732591852
95,31 B AZİZİYE CAMİİ,32.50143838501032,37.87012211060082
96,32 KAYALI PARK HACI HASAN CAMİ,32.49815208138494,37.87104496262562
97,33 ŞERAFETTİN CAMİİ,32.49888580694335,37.87218303889764
98,34 İŞ BANKASI ARKA SKAK,32.49465972877705,37.87218754063718
99,35 TAHİR PAŞA CAMİ,32.49128931814587,37.86994310594483
100,36 BELEDİYE İŞ HANI,32.4881867549941,37.87683976313289
101,37 BELEDİYE İŞ HANI YANI KOSKİ,32.48856621683407,37.87689081297689
102,38 OTEL BERA,32.48303686075474,37.87750085663842
103,39 MALİYE,32.48518569877668,37.87558938462282
104,40 A HAZIM ULUŞAHİN ÖN TARAF,32.48380512578692,37.87695844923937
105,40 B HAZIM ULUŞAHİN ÖN TARAF,32.48472198048234,37.87742569125906
106,41 ENTEPE ALIŞVERİŞ MERKEZİ,32.49925408062857,37.88663126838174
107,01 OTOGAR İÇİ,32.50928442081918,37.95020845956416
108,02 ASİL DONDURMA,32.49446448260188,37.87792447234803
109,03 TAŞ BİNA KARŞISI,32.49337219934043,37.87593551047517
110,04 RAMPALI,32.49435527181154,37.8718306413156
